"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D201";"Diode_DO-41_SOD81_Horizontal_RM10";1;"ZD 15";;;
2;"P102";"IDC_Header_Straight_10pins";1;"CONN_02X05";;;
3;"R101,R102";"R_0805_HandSoldering";2;"100";;;
4;"R103,R104,R105,R106";"R_0805_HandSoldering";4;"5k";;;
5;"R107,R108,R109,R110,R111,R112";"R_0805_HandSoldering";6;"250";;;
6;"R113";"R_0805_HandSoldering";1;"10k";;;
7;"R114,R115,R116,R117,R118,R119";"R_0805_HandSoldering";6;"3k3";;;
8;"R301,R401,R501,R601,R701,R801,R901,R1001,R1101,R1201,R1301,R1401,R1501,R1601";"R_0805_HandSoldering";14;"5k4";;;
9;"R302,R402,R502,R602,R702,R802,R902,R1002,R1102,R1202,R1302,R1402,R1502,R1602";"R_0805_HandSoldering";14;"2k5";;;
10;"R303,R403,R503,R603,R703,R803,R903,R1003,R1103,R1203,R1303,R1403,R1503,R1603";"R_0805_HandSoldering";14;"24k";;;
11;"U201";"D-PAK";1;"LF33";;;
12;"C101";"C_0805_HandSoldering";1;"C";;;
13;"C102";"C_0805_HandSoldering";1;"C_Small";;;
14;"C201";"C_0805_HandSoldering";1;"1uF (X7R-G0805 1,0/25)";;;
15;"C202";"C_0805_HandSoldering";1;"10uF (X5R-G0805 10/16)";;;
16;"F201";"Fuseholder5x20_horiz_SemiClosed_Casing10x25mm";1;"F_Power";;;
17;"P101,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134";"bornier2";33;"CONN_01X02";;;
18;"P201";"bornier2";1;"CONN_01X02_P";;;
19;"Q101,Q102,Q103,Q104,Q105,Q106";"SOT-23_Handsoldering";6;"IRLML2502";;;
20;"Q301,Q401,Q501,Q601,Q701,Q801,Q901,Q1001,Q1101,Q1201,Q1301,Q1401,Q1501,Q1601";"TO-92_Molded_0.6space_Oval";14;"BC548";;;
21;"Q302,Q402,Q502,Q602,Q702,Q802,Q902,Q1002,Q1102,Q1202,Q1302,Q1402,Q1502,Q1602";"SOT-23_Handsoldering";14;"IRLML2244";;;
22;"IC101";"DIP-28_W7.62mm_LongPads";1;"ATMEGA88PA-P";;;
23;"REF**,REF**,REF**,REF**";"MountingHole_3-5mm";4;"MountingHole_3-5mm";;;
